TripID,ScooterID,StartTime,EndTime,StartLatitude,StartLongitude,EndLatitude,EndLongitude,TripDistance
214ac2d1-7db7-4afa-8956-116431ac7e73,7b868076-3b47-4f8f-967e-08de0a9d4a48,9/30/18 12:07,9/30/18 14:47,38.22,-85.69,38.22,-85.70,15.66
5f25dcbc-eaf5-4e2a-af79-a8ef10892ccc,623de3f7-ea5f-4e99-ba8c-57ef2f7f093c,9/30/18 12:07,9/30/18 12:26,38.25,-85.76,38.25,-85.76,0
41efe92c-8ad8-4cc9-9920-406015bdeb58,10ca2612-4b86-4348-ae19-f234d7a0be0a,9/30/18 12:08,9/30/18 13:02,38.22,-85.69,38.24,-85.72,6.93
b3a0e61b-1780-420a-9ed1-d4d307a0d2f0,7b141fd9-babc-46d1-ae39-cb06b435dc8b,9/30/18 12:08,9/30/18 12:50,38.23,-85.71,38.24,-85.71,1.87
c305b1c2-e96b-4029-a8a2-568ad89b9b9e,02d24631-ad55-43f4-a494-b3624c2800e4,9/30/18 12:09,9/30/18 13:00,38.22,-85.69,38.24,-85.72,6.03
2d656382-8c93-40b9-91d4-58af883249df,3a1d6948-7607-4731-b268-2a2615197ed4,9/30/18 12:10,9/30/18 12:14,38.23,-85.71,38.23,-85.70,0.37
7d2eedb9-d935-4a28-b891-6fb0fda3efba,9b555b61-1aca-414b-89e2-2dba4ec7b4d1,9/30/18 12:10,9/30/18 12:14,38.23,-85.71,38.23,-85.71,0.19
8b7d5ef5-fb35-43a9-9ea0-0461f0b03f0c,2c8461af-e2d3-4a92-b481-abf0ff8edb38,9/30/18 12:11,9/30/18 12:13,38.25,-85.76,38.25,-85.76,0
aa5c3ef2-bb95-485d-9475-136ba048e568,2e5cb95d-d637-4c4a-954c-664aed865cf2,9/30/18 12:13,9/30/18 12:19,38.24,-85.72,38.23,-85.71,0.99
eec38915-79a4-4a73-8c0e-64bcd016ed91,34ac8bd0-7897-4228-9af3-e24f3a32cb05,9/30/18 12:14,9/30/18 12:20,38.25,-85.74,38.25,-85.74,0.78
39af2312-2268-412d-9103-e471c906f8e6,afc5777d-6bcc-4f3c-a837-87d41fb5f0e5,9/30/18 12:14,9/30/18 12:26,38.26,-85.76,38.26,-85.76,0.81
9ba78dec-7115-4bc2-9a3e-c0766bca9cbd,83cc60dd-2323-4e12-97c6-73010a061bf9,9/30/18 12:15,9/30/18 12:45,38.23,-85.71,38.24,-85.71,1.24
f2952a0b-50db-4d9c-8d4a-06bf7477e5b7,5f254891-3db3-47ec-8b53-60996e5c2646,9/30/18 12:15,9/30/18 12:22,38.25,-85.70,38.25,-85.70,0.37
4eec30fb-7b42-4373-a0d9-fbe8099f1f8e,0dc9e08d-d0c6-46c0-b579-b797c004876b,9/30/18 12:16,9/30/18 13:26,38.25,-85.70,38.25,-85.69,7.28
0bec1ba8-56bb-496d-b280-925b0caf1eca,a700f826-f658-4e96-9025-06cd98a5de78,9/30/18 12:16,9/30/18 13:26,38.25,-85.70,38.25,-85.69,8.97
ad39652c-3f4e-4121-93b0-1b9b720d4663,a593f486-5038-4e23-b51e-fc069c37111c,9/30/18 12:18,9/30/18 12:20,38.25,-85.75,38.25,-85.75,0.06
270aa2df-5909-4abe-8bc0-d5deb8272398,06e3db9e-b915-417e-b828-e987d9bb758e,9/30/18 12:19,9/30/18 12:21,38.25,-85.74,38.25,-85.74,0
35dce844-094e-4025-b00d-980e267e609e,34ac8bd0-7897-4228-9af3-e24f3a32cb05,9/30/18 12:21,9/30/18 12:29,38.25,-85.74,38.25,-85.74,0.72
1481d422-2cbd-442f-9aae-885250548765,55afb762-f8e9-4fba-ab2a-9969493e9959,9/30/18 12:22,9/30/18 12:34,38.25,-85.75,38.25,-85.76,0.81
996f8de6-b5e9-4ec3-843d-d728aa3ffcac,9f6615fe-7665-45df-abe5-a8aadaa34ab4,9/30/18 12:22,9/30/18 13:34,38.25,-85.75,38.25,-85.76,7.21
07215da8-0432-4eda-89af-f54e9bdb1086,1cec460e-c722-4afa-8ffe-0406a1527c59,9/30/18 12:22,9/30/18 12:24,38.26,-85.76,38.26,-85.76,0
96f752b2-1f37-4955-b481-ef07ac5a92d3,a593f486-5038-4e23-b51e-fc069c37111c,9/30/18 12:22,9/30/18 12:33,38.25,-85.75,38.25,-85.76,0.75
bf614628-c4a3-4f7e-893b-46850c15b481,ee50a7f3-c692-4a8c-871d-d8c1324abaa1,9/30/18 12:23,9/30/18 13:14,38.25,-85.76,38.25,-85.75,5.67
b238e6e0-3a9a-479e-ba06-8da718599b62,49c1b348-b2a6-4546-8f21-862529edde43,9/30/18 12:23,9/30/18 13:05,38.22,-85.69,38.24,-85.71,4.72
624714d1-df76-4de3-a730-40179f44e0c0,5f4ecb2d-0880-4bf1-854c-91183d63f300,9/30/18 12:23,9/30/18 13:05,38.22,-85.69,38.24,-85.71,4.85
